Mon Sep 19 13:15:09 2022    output.dat

         4473895 function calls (4140943 primitive calls) in 1.762 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8223    0.009    0.000    0.022    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6670(name_scope)
     8191    0.056    0.000    0.520    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:200(_deepcopy_list)
7688/3051    0.070    0.000    0.071    0.000 {built-in method _abc._abc_subclasscheck}
7688/3051    0.001    0.000    0.071    0.000 /home/marie/anaconda3/lib/python3.9/abc.py:121(__subclasscheck__)
     7607    0.002    0.000    0.007    0.000 {built-in method builtins.hasattr}
     7038    0.004    0.000    0.004    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:990(scope_name)
     6618    0.003    0.000    0.074    0.000 {built-in method _abc._abc_instancecheck}
     6618    0.002    0.000    0.076    0.000 /home/marie/anaconda3/lib/python3.9/abc.py:117(__instancecheck__)
     5290    0.001    0.000    0.001    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:172(__init__)
     5290    0.000    0.000    0.000    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:175(__enter__)
     5290    0.001    0.000    0.001    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:178(__exit__)
     4820    0.004    0.000    0.008    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:66(copy)
     4820    0.002    0.000    0.002    0.000 {method '__copy__' of 'numpy.ndarray' objects}
     4680    0.000    0.000    0.000    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/lib/function_base.py:4758(_append_dispatcher)
     4680    0.005    0.000    0.024    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/lib/function_base.py:4762(append)
     4680    0.002    0.000    0.029    0.000 <__array_function__ internals>:2(append)
     4680    0.001    0.000    0.001    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     4680    0.002    0.000    0.009    0.000 <__array_function__ internals>:2(ravel)
     4680    0.000    0.000    0.000    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1714(_ravel_dispatcher)
     4680    0.003    0.000    0.005    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1718(ravel)
     4680    0.003    0.000    0.009    0.000 <__array_function__ internals>:2(concatenate)
     4680    0.001    0.000    0.001    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/multiarray.py:148(concatenate)
     4192    0.001    0.000    0.001    0.000 /home/marie/backgammon/code/agent.py:129(<genexpr>)
     4167    0.002    0.000    0.002    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:50(_is_ref_dtype)
     4167    0.001    0.000    0.003    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:63(base_dtype)
     3790    0.001    0.000    0.001    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tqdm/utils.py:330(<genexpr>)
     3766    0.000    0.000    0.000    0.000 {built-in method unicodedata.east_asian_width}
     3546    0.002    0.000    0.004    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:775(<genexpr>)
     3544    0.002    0.000    0.004    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:723(as_dimension)
     3541    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     3541    0.001    0.000    0.001    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:199(__init__)
     3535    0.000    0.000    0.000    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:265(value)
