Mon Sep 19 15:13:49 2022    output.dat

         656978839 function calls (637454548 primitive calls) in 375.708 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  4075866    1.448    0.000    1.448    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:995(device_name)
 15124779    1.423    0.000    1.423    0.000 {method 'get' of 'dict' objects}
  1130036    1.408    0.000   14.917    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/gen_array_ops.py:10522(strided_slice)
  1361596    1.296    0.000    3.190    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6957(__exit__)
  1133118    1.245    0.000    8.727    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:1343(maybe_promote_tensors)
  6780251    1.232    0.000    1.232    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1575(<genexpr>)
  3390123    1.207    0.000   41.512    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:340(_constant_tensor_conversion_function)
  2505420    1.160    0.000    2.024    0.000 {built-in method _abc._abc_instancecheck}
   456919    1.136    0.000   17.638    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:1435(r_binary_op_wrapper)
  3390123    1.059    0.000   10.121    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1579(_autopacking_conversion_function)
  1130036    0.990    0.000   15.907    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1168(strided_slice)
  1852112    0.988    0.000    3.561    0.000 <__array_function__ internals>:2(concatenate)
  1852112    0.981    0.000    2.095    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1718(ravel)
   231514    0.963    0.000   12.358    0.000 /home/marie/backgammon/code/env/backgammon.py:143(_flatten_obs)
 10896754    0.897    0.000    0.897    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:2131(context_safe)
234581/228459    0.890    0.000   78.566    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/utils/traceback_utils.py:58(error_handler)
   225447    0.882    0.000    0.882    0.000 {method '_numpy_internal' of 'tensorflow.python.framework.ops.EagerTensor' objects}
   682927    0.866    0.000    2.714    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:765(__init__)
  7843680    0.854    0.000    0.854    0.000 {method '_datatype_enum' of 'tensorflow.python.framework.ops.EagerTensor' objects}
  4075752    0.812    0.000    0.812    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:931(_handle)
   914366    0.797    0.000    3.528    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:1256(shape)
  6201687    0.791    0.000    0.792    0.000 {built-in method builtins.issubclass}
   231733    0.760    0.000    1.752    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/tf_decorator.py:61(make_decorator)
   231518    0.760    0.000   14.798    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:2449(_maybe_cast_inputs)
  1852112    0.758    0.000   10.920    0.000 <__array_function__ internals>:2(append)
  1600990    0.755    0.000    0.755    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:50(_is_ref_dtype)
  7359737    0.751    0.000    0.751    0.000 {method 'append' of 'list' objects}
     3169    0.749    0.000  371.688    0.117 /home/marie/backgammon/code/agent.py:365(choose_action)
  3704224    0.743    0.000    0.743    0.000 {built-in method numpy.asanyarray}
  1143120    0.710    0.000    0.925    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:242(_keep_alive)
  1852112    0.705    0.000    3.544    0.000 <__array_function__ internals>:2(ravel)
  1147870    0.689    0.000    0.777    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:678(as_dtype)
   459972    0.648    0.000    1.756    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:2477(_should_cast_single_input)
   457248    0.630    0.000    0.630    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
