Tue Sep 20 18:57:50 2022    output.dat

         293407445 function calls (284768797 primitive calls) in 167.347 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1128871    0.247    0.000    1.280    0.000 /home/marie/anaconda3/lib/python3.9/abc.py:117(__instancecheck__)
   928869    0.103    0.000    0.103    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:172(__init__)
   928869    0.083    0.000    0.083    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:175(__enter__)
   928869    0.106    0.000    0.106    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:178(__exit__)
   923805    0.657    0.000    1.251    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:66(copy)
   817040    0.085    0.000    0.085    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/lib/function_base.py:4758(_append_dispatcher)
   817040    0.783    0.000    4.057    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/lib/function_base.py:4762(append)
   817040    0.333    0.000    4.830    0.000 <__array_function__ internals>:2(append)
   817040    0.183    0.000    0.183    0.000 {method 'ravel' of 'numpy.ndarray' objects}
   817040    0.080    0.000    0.080    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1714(_ravel_dispatcher)
   817040    0.440    0.000    0.953    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1718(ravel)
   817040    0.299    0.000    1.568    0.000 <__array_function__ internals>:2(ravel)
   817040    0.427    0.000    1.570    0.000 <__array_function__ internals>:2(concatenate)
   817040    0.083    0.000    0.083    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/multiarray.py:148(concatenate)
   742306    0.315    0.000    0.315    0.000 {method '__copy__' of 'numpy.ndarray' objects}
   727235    0.334    0.000    0.334    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:50(_is_ref_dtype)
   727235    0.227    0.000    0.561    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:63(base_dtype)
   628560    0.287    0.000    0.578    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:723(as_dimension)
   625941    0.189    0.000    0.228    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:199(__init__)
   620703    0.077    0.000    0.077    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:265(value)
   614633    0.276    0.000    0.746    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:775(<genexpr>)
   610118    0.151    0.000    0.151    0.000 {method 'pop' of 'list' objects}
   608488    0.228    0.000    0.228    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:985(scope_name)
   608487    0.324    0.000    0.378    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6905(__init__)
   608487    1.296    0.000    2.187    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6923(__enter__)
   608487    0.540    0.000    1.394    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6957(__exit__)
   608486    0.286    0.000    0.703    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6947(_restore_name_scope)
   525675    0.305    0.000    0.346    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:678(as_dtype)
520696/515306    0.188    0.000    0.431    0.000 {built-in method builtins.next}
   509810    0.548    0.000    3.892    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:1343(maybe_promote_tensors)
506558/502961    0.319    0.000    0.319    0.000 {built-in method _abc._abc_subclasscheck}
506558/502961    0.109    0.000    0.428    0.000 /home/marie/anaconda3/lib/python3.9/abc.py:121(__subclasscheck__)
   506390    0.310    0.000    0.407    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:242(_keep_alive)
