Mon Sep 19 14:58:17 2022    output.dat

         996575697 function calls (966966672 primitive calls) in 578.243 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 10280595    1.821    0.000    1.821    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1575(<genexpr>)
  9934209    7.175    0.000    7.175    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:175(__eq__)
  9391572    1.269    0.000    1.269    0.000 {built-in method builtins.issubclass}
8654173/8654171    4.920    0.000  125.164    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/profiler/trace.py:178(wrapped)
8654173/8654171   16.916    0.000  120.244    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:1572(convert_to_tensor)
  8039845    3.190    0.000   10.160    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/nest.py:355(flatten)
  8039837    6.966    0.000    6.970    0.000 {built-in method tensorflow.python.util._pywrap_utils.Flatten}
7270662/346222    5.811    0.000   13.052    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:128(deepcopy)
  6217936    0.856    0.000    0.859    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:580(ensure_initialized)
  6217936    1.304    0.000    1.304    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:931(_handle)
  6217933    2.260    0.000    2.260    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:995(device_name)
  6213576   53.406    0.000   58.458    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:74(convert_to_eager_tensor)
  6213576    2.391    0.000   72.986    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:170(constant)
  6213576    5.274    0.000   70.595    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:271(_constant_impl)
  6213576    2.831    0.000   61.289    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:302(_constant_eager_impl)
  6204862    2.893    0.000    4.472    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_conversion_registry.py:112(get)
  6094551    2.769    0.000    6.164    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:2161(executing_eagerly)
5931555/5918484    0.490    0.000    0.493    0.000 {built-in method builtins.len}
  5863082    2.234    0.000    5.037    0.000 {built-in method builtins.all}
  5607664    1.247    0.000    1.247    0.000 {built-in method numpy.asanyarray}
  5539552    0.375    0.000    0.375    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:182(_deepcopy_atomic)
  5140297    3.339    0.000   13.840    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1569(_should_not_autopack)
  5140297    1.572    0.000   15.411    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1579(_autopacking_conversion_function)
