Mon Sep 19 15:13:49 2022    output.dat

         656978839 function calls (637454548 primitive calls) in 375.708 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2505420    0.568    0.000    2.591    0.000 /home/marie/anaconda3/lib/python3.9/abc.py:117(__instancecheck__)
  2129744    1.485    0.000    2.705    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:66(copy)
  2047045    0.236    0.000    0.236    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:172(__init__)
  2047045    0.180    0.000    0.180    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:175(__enter__)
  2047045    0.239    0.000    0.239    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:178(__exit__)
  1852182    0.424    0.000    0.424    0.000 {method 'ravel' of 'numpy.ndarray' objects}
  1852112    0.195    0.000    0.195    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/lib/function_base.py:4758(_append_dispatcher)
  1852112    1.763    0.000    9.159    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/lib/function_base.py:4762(append)
  1852112    0.758    0.000   10.920    0.000 <__array_function__ internals>:2(append)
  1852112    0.705    0.000    3.544    0.000 <__array_function__ internals>:2(ravel)
  1852112    0.184    0.000    0.184    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1714(_ravel_dispatcher)
  1852112    0.981    0.000    2.095    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1718(ravel)
  1852112    0.988    0.000    3.561    0.000 <__array_function__ internals>:2(concatenate)
  1852112    0.198    0.000    0.198    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/multiarray.py:148(concatenate)
  1667963    0.590    0.000    0.590    0.000 {method '__copy__' of 'numpy.ndarray' objects}
  1600990    0.755    0.000    0.755    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:50(_is_ref_dtype)
  1600990    0.491    0.000    1.247    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:63(base_dtype)
  1366051    0.621    0.000    1.238    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:723(as_dimension)
  1365844    0.402    0.000    0.486    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:199(__init__)
  1365422    0.160    0.000    0.160    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:265(value)
  1364071    0.349    0.000    0.349    0.000 {method 'pop' of 'list' objects}
  1362266    0.619    0.000    1.629    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:775(<genexpr>)
  1361596    0.612    0.000    0.731    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6905(__init__)
  1361596    2.873    0.000    4.818    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6923(__enter__)
  1361596    1.296    0.000    3.190    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6957(__exit__)
  1361576    0.508    0.000    0.508    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:985(scope_name)
  1361573    0.619    0.000    1.545    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6947(_restore_name_scope)
  1147870    0.689    0.000    0.777    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:678(as_dtype)
  1143120    0.710    0.000    0.925    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:242(_keep_alive)
1137653/1130492    0.622    0.000    0.623    0.000 {built-in method _abc._abc_subclasscheck}
1137653/1130492    0.243    0.000    0.865    0.000 /home/marie/anaconda3/lib/python3.9/abc.py:121(__subclasscheck__)
1134843/1132901    0.424    0.000    0.924    0.000 {built-in method builtins.next}
  1133118    1.245    0.000    8.727    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:1343(maybe_promote_tensors)
  1130038    0.481    0.000    0.481    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6706(<genexpr>)
  1130036    1.408    0.000   14.917    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/gen_array_ops.py:10522(strided_slice)
  1130036    0.498    0.000    2.695    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:894(_check_index)
  1130036   10.652    0.000  128.603    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:914(_slice_helper)
  1130036    0.990    0.000   15.907    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1168(strided_slice)
  1018160    0.071    0.000    0.071    0.000 {method 'copy' of 'list' objects}
   920847    0.436    0.000    0.436    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsNested}
   920753    0.086    0.000    0.086    0.000 {method 'pop' of 'dict' objects}
   920226    0.239    0.000    0.609    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/nest.py:912(<genexpr>)
   917098    0.297    0.000    0.980    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:188(__ne__)
   914366    0.797    0.000    3.528    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:1256(shape)
